id,state_code,level,county,city,jurisdiction_name,rate
ca_state,CA,state,,,California,7.25
ca_county_alameda,CA,county,ALAMEDA,,Alameda County,10.25
ca_city_alameda_alameda,CA,city,ALAMEDA,ALAMEDA,Alameda,10.75
ca_city_alameda_albany,CA,city,ALAMEDA,ALBANY,Albany,10.75
ca_city_alameda_berkeley,CA,city,ALAMEDA,BERKELEY,Berkeley,10.25
ca_city_alameda_dublin,CA,city,ALAMEDA,DUBLIN,Dublin,10.25
ca_city_alameda_emeryville,CA,city,ALAMEDA,EMERYVILLE,Emeryville,10.5
ca_city_alameda_fremont,CA,city,ALAMEDA,FREMONT,Fremont,10.25
ca_city_alameda_hayward,CA,city,ALAMEDA,HAYWARD,Hayward,10.75
ca_city_alameda_livermore,CA,city,ALAMEDA,LIVERMORE,Livermore,10.25
ca_city_alameda_newark,CA,city,ALAMEDA,NEWARK,Newark,10.75
ca_city_alameda_oakland,CA,city,ALAMEDA,OAKLAND,Oakland,10.75
ca_city_alameda_piedmont,CA,city,ALAMEDA,PIEDMONT,Piedmont,10.25
ca_city_alameda_pleasanton,CA,city,ALAMEDA,PLEASANTON,Pleasanton,10.25
ca_city_alameda_san_leandro,CA,city,ALAMEDA,SAN LEANDRO,San Leandro,10.75
ca_city_alameda_union_city,CA,city,ALAMEDA,UNION CITY,Union City,10.75
ca_county_alpine,CA,county,ALPINE,,Alpine County,7.25
ca_county_amador,CA,county,AMADOR,,Amador County,7.75
ca_city_amador_amador_city,CA,city,AMADOR,AMADOR CITY,Amador City,8.0
ca_city_amador_ione,CA,city,AMADOR,IONE,Ione,7.75
ca_city_amador_jackson,CA,city,AMADOR,JACKSON,Jackson,7.75
ca_city_amador_plymouth,CA,city,AMADOR,PLYMOUTH,Plymouth,7.75
ca_city_amador_sutter_creek,CA,city,AMADOR,SUTTER CREEK,Sutter Creek,8.75
ca_county_butte,CA,county,BUTTE,,Butte County,8.25
ca_city_butte_biggs,CA,city,BUTTE,BIGGS,Biggs,8.25
ca_city_butte_chico,CA,city,BUTTE,CHICO,Chico,9.25
ca_city_butte_gridley,CA,city,BUTTE,GRIDLEY,Gridley,8.25
ca_city_butte_oroville,CA,city,BUTTE,OROVILLE,Oroville,9.25
ca_city_butte_paradise,CA,city,BUTTE,PARADISE,Paradise,8.75
ca_county_calaveras,CA,county,CALAVERAS,,Calaveras County,8.25
ca_city_calaveras_angels_camp,CA,city,CALAVERAS,ANGELS CAMP,Angels Camp,8.75
ca_county_colusa,CA,county,COLUSA,,Colusa County,7.75
ca_city_colusa_colusa,CA,city,COLUSA,COLUSA,Colusa,8.75
ca_city_colusa_williams,CA,city,COLUSA,WILLIAMS,Williams,8.25
ca_county_contra_costa,CA,county,CONTRA COSTA,,Contra Costa County,8.75
ca_city_contra_costa_antioch,CA,city,CONTRA COSTA,ANTIOCH,Antioch,9.75
ca_city_contra_costa_brentwood,CA,city,CONTRA COSTA,BRENTWOOD,Brentwood,8.75
ca_city_contra_costa_clayton,CA,city,CONTRA COSTA,CLAYTON,Clayton,8.75
ca_city_contra_costa_concord,CA,city,CONTRA COSTA,CONCORD,Concord,9.75
ca_city_contra_costa_danville,CA,city,CONTRA COSTA,DANVILLE,Danville,8.75
ca_city_contra_costa_el_cerrito,CA,city,CONTRA COSTA,EL CERRITO,El Cerrito,10.25
ca_city_contra_costa_hercules,CA,city,CONTRA COSTA,HERCULES,Hercules,9.25
ca_city_contra_costa_lafayette,CA,city,CONTRA COSTA,LAFAYETTE,Lafayette,9.25
